__source__,__tag__:__pack_id__,__time__,__topic__,activeInstances,activeInstancesPerFunction,coldStartLatencyMs,coldStartStartTimestamp,durationMs,functionName,hasFunctionError,hostname,instanceEvent,instanceID,invocationStartTimestamp,invocationType,invokeFunctionLatencyMs,invokeFunctionStartTimestamp,ipAddress,isColdStart,memoryMB,memoryUsageMB,operation,prepareCodeLatencyMs,prepareCodeStartTimestamp,qualifier,requestId,resourceMode,runtimeInitializationMs,runtimeInitializationStartTimestamp,scheduleLatencyMs,versionId
,B08413E0E203CDE5458AD4D3BC3D51FF-0,1762534362,FCRequestMetrics:/n-gemm-128,0,0,215.53,1762534361844,795.83,n-gemm-128,false,sr-690e12a3-c9156d926e2b45b28dfd,ColdStart,c-690e23d9-1395dd90-b099e0091abc,1762534362123,Sync,1466.69,1762534361453,21.0.1.242,true,128,22.78,InvokeFunction,26.55,1762534361845,LATEST,1-690e23d9-1388e719-46d2c29bd036,OnDemand,187.97,1762534361871,390.45,
,BFBEBA172803C920225089151F4CCB91-0,1762534390,FCRequestMetrics:/n-gemm-512,0,0,210.20,1762534389313,793.61,n-gemm-512,false,sr-690e1437-47f2936ee43e4c0c898d,ColdStart,c-690e23f5-1395dd90-f806416f5627,1762534389758,Sync,1721.43,1762534388831,21.0.6.145,true,512,26.97,InvokeFunction,29.18,1762534389314,LATEST,1-690e23f5-138e8fa7-47333c5a305f,OnDemand,179.92,1762534389344,482.46,
,B4A3A51712A3C87FBB6220C62A7DA053-1,1762534413,FCRequestMetrics:/n-gemm-2048,0,0,243.25,1762534412084,900.93,n-gemm-2048,false,sr-690e1188-cc5fb60c2b044c5c93b3,ColdStart,c-690e240c-1395dd90-a9253d5e810b,1762534412340,Sync,1461.67,1762534411780,21.0.3.82,true,2048,30.38,InvokeFunction,37.85,1762534412085,LATEST,1-690e240b-138e8fa7-af188005051d,OnDemand,204.40,1762534412123,304.18,
,8F889CDF98D080AD5FE3B5B89119D3A3-2,1762557190,FCRequestMetrics:/n-gemm-128,0,0,219.31,1762557188989,810.62,n-gemm-128,false,sr-690e644e-30a0518b1939485cb6b4,ColdStart,c-690e7d04-1395dd90-a77746b15296,1762557189215,Sync,1339.35,1762557188687,21.0.7.165,true,128,23.05,InvokeFunction,25.43,1762557188990,LATEST,1-690e7d04-1367a1fb-684577d6ac71,OnDemand,192.60,1762557189016,302.04,
,081DC9EFD6FF8A940296111639BC7B67-0,1762557190,FCRequestMetrics:/n-gemm-128,0,0,221.37,1762557188989,842.44,n-gemm-128,false,sr-690e60d6-0bc349ff9f94460ba5c7,ColdStart,c-690e7d04-1395dd90-bc4af6d79d01,1762557189215,Sync,1442.35,1762557188616,21.0.12.89,true,128,22.82,InvokeFunction,31.39,1762557188990,LATEST,1-690e7d04-13a40724-41744bde5765,OnDemand,188.88,1762557189022,373.27,
,BE438C9EF80F43FED214FBDFE93D1F3D-2,1762557190,FCRequestMetrics:/n-gemm-128,0,0,222.51,1762557188989,841.38,n-gemm-128,false,sr-690e6314-fa22e6246a214e65a06a,ColdStart,c-690e7d04-1395dd90-a201af7d80a5,1762557189215,Sync,1433.91,1762557188623,21.0.6.221,true,128,23.00,InvokeFunction,19.24,1762557188990,LATEST,1-690e7d04-13301428-43d826af33dc,OnDemand,201.93,1762557189010,365.64,
,B26D5D2AB4EF4366EA26E70F25BD3810-1,1762557190,FCRequestMetrics:/n-gemm-128,3,3,199.67,1762557189076,785.15,n-gemm-128,false,sr-690e5a39-13ce9f3f55214b8e942d,ColdStart,c-690e7d04-1395dd90-54d6c67b857b,1762557189280,Sync,1385.80,1762557188679,21.0.5.61,true,128,22.72,InvokeFunction,19.11,1762557189077,LATEST,1-690e7d04-13457136-c154935d4c22,OnDemand,179.45,1762557189096,396.69,
,8F91ED3653BC766C205C4A5462A61695-0,1762557190,FCRequestMetrics:/n-gemm-128,3,3,202.49,1762557189075,781.00,n-gemm-128,false,sr-690e6252-849b50c87187409e9a3d,ColdStart,c-690e7d04-1395dd90-5dce68cab914,1762557189281,Sync,1417.04,1762557188646,21.0.5.246,true,128,22.86,InvokeFunction,23.25,1762557189076,LATEST,1-690e7d04-1325ef49-2bd0904f78dd,OnDemand,178.21,1762557189099,429.58,
,2EDEB22E799ABE75309D0E5CC12A3175-0,1762557190,FCRequestMetrics:/n-gemm-128,3,3,211.65,1762557189075,826.41,n-gemm-128,false,sr-690e5f74-c6428d8b14bd46389303,ColdStart,c-690e7d04-1395dd90-838d43188c37,1762557189290,Sync,1451.91,1762557188665,21.0.7.27,true,128,22.78,InvokeFunction,24.98,1762557189076,LATEST,1-690e7d04-133c4777-a4f0f1ffc54d,OnDemand,185.37,1762557189101,409.95,
,D1957BFE66A234BBEF063AC605687B52-0,1762557190,FCRequestMetrics:/n-gemm-128,3,3,215.99,1762557189072,810.78,n-gemm-128,false,sr-690e60d4-c4abf3fffaf742f6a0f2,ColdStart,c-690e7d04-1395dd90-0f35f14b9ef8,1762557189291,Sync,1479.75,1762557188623,21.0.7.121,true,128,22.46,InvokeFunction,29.50,1762557189073,LATEST,1-690e7d04-13deefb9-4ea4b880292c,OnDemand,185.27,1762557189102,449.03,
,4A54E29D0E4E694151E4C7BC8B14BF67-2,1762557190,FCRequestMetrics:/n-gemm-128,3,3,215.72,1762557189072,813.30,n-gemm-128,false,sr-690e63b5-bb74a20be6d7435ebf2d,ColdStart,c-690e7d04-1395dd90-0ef90dba72da,1762557189291,Sync,1471.68,1762557188633,21.0.8.138,true,128,22.32,InvokeFunction,29.64,1762557189073,LATEST,1-690e7d04-1325ef49-f6462e8aad30,OnDemand,184.84,1762557189103,439.04,
