__source__,__tag__:__pack_id__,__time__,__topic__,activeInstances,activeInstancesPerFunction,coldStartLatencyMs,coldStartStartTimestamp,durationMs,functionName,hasFunctionError,hostname,instanceEvent,instanceID,invocationStartTimestamp,invocationType,invokeFunctionLatencyMs,invokeFunctionStartTimestamp,ipAddress,isColdStart,memoryMB,memoryUsageMB,operation,prepareCodeLatencyMs,prepareCodeStartTimestamp,qualifier,requestId,resourceMode,runtimeInitializationMs,runtimeInitializationStartTimestamp,scheduleLatencyMs,versionId
,474D56706B56CCCD5CB88E2ECAF3FD27-1,1762557188,FCRequestMetrics:/n-gemm-128,0,0,237.66,1762557187357,810.20,n-gemm-128,false,sr-690e6591-d2202426110240969da4,ColdStart,c-690e7d03-16bb26f4-2f573bbcf112,1762557187598,Sync,1424.28,1762557186985,21.0.1.126,true,128,22.90,InvokeFunction,57.36,1762557187359,LATEST,1-690e7d03-161cb911-dae31efdafcd,OnDemand,178.23,1762557187417,372.54,
,112FA65F1C2F880B98B26A0D914246B8-2,1762557188,FCRequestMetrics:/n-gemm-128,0,0,238.26,1762557187357,786.78,n-gemm-128,false,sr-690e65d4-22f99ca87453409db9cc,ColdStart,c-690e7d03-16bb26f4-96ba463fd915,1762557187601,Sync,1400.51,1762557186988,21.0.7.138,true,128,23.01,InvokeFunction,61.21,1762557187358,LATEST,1-690e7d03-1608aa20-9516c8e538e2,OnDemand,176.03,1762557187420,369.20,
,0748174B72E25B0B8000AA82287039F1-2,1762557188,FCRequestMetrics:/n-gemm-128,2,2,255.95,1762557187356,829.66,n-gemm-128,false,sr-690e6936-59dcda8a0f034b2dbafa,ColdStart,c-690e7d03-16bb26f4-8002a053db2b,1762557187643,Sync,1524.69,1762557186948,21.0.9.241,true,128,22.57,InvokeFunction,56.07,1762557187357,LATEST,1-690e7d03-1636722c-0852472f42df,OnDemand,198.93,1762557187413,408.22,
,671CBF258C5ECC6AC7557D52F674D01F-2,1762557189,FCRequestMetrics:/n-gemm-128,3,3,188.29,1762557188526,789.48,n-gemm-128,false,sr-690e6d46-50d7c5de60f74e2aa57d,ColdStart,c-690e7d04-16bb26f4-9daa18547c77,1762557188815,Sync,1564.71,1762557188041,21.0.5.118,true,128,22.41,InvokeFunction,0.09,1762557188526,LATEST,1-690e7d04-161cb911-780aa8052819,OnDemand,187.24,1762557188527,484.84,
,B260A47339FB88F5FAA16714E0CF3756-1,1762557189,FCRequestMetrics:/n-gemm-128,3,3,,,775.71,n-gemm-128,false,sr-690e6f69-f3f81743961046098b46,,c-690e7d04-16bb26f4-be9148f5e338,1762557188816,Sync,1402.13,1762557188190,21.0.6.15,false,128,22.68,InvokeFunction,,,LATEST,1-690e7d04-16d01141-759313c278a1,OnDemand,,,625.79,
,5F3759AE27DA6B17E92FCD901CD9A19F-1,1762557189,FCRequestMetrics:/n-gemm-128,3,3,,,770.74,n-gemm-128,false,sr-690e64b8-c36a4b0776f6486aa630,,c-690e7d04-16bb26f4-f84bdefb0276,1762557188821,Sync,1104.21,1762557188488,21.0.1.6,false,128,22.90,InvokeFunction,,,LATEST,1-690e7d04-16cf70ed-731a7bd22c6f,OnDemand,,,332.85,
,F8E786B33DE65E9A62EB2F8BDA7B6598-1,1762557189,FCRequestMetrics:/n-gemm-128,10,10,,,764.90,n-gemm-128,false,sr-690e6be4-647c23ead85347d7bc8a,,c-690e7d04-16bb26f4-07c6966af1bb,1762557188941,Sync,768.93,1762557188938,21.0.12.154,false,128,22.77,InvokeFunction,,,LATEST,1-690e7d04-1608aa20-558847eabf2d,OnDemand,,,3.51,
,3B82547A6694D4413156920157E1E304-1,1762557189,FCRequestMetrics:/n-gemm-128,3,3,,,786.37,n-gemm-128,false,sr-690e6989-4d8472d8cde64ca7ad8f,,c-690e7d04-16bb26f4-6b1f82cd2922,1762557188816,Sync,1382.90,1762557188220,21.0.5.120,false,128,23.08,InvokeFunction,,,LATEST,1-690e7d04-16bc0f10-3ef4fe65c90c,OnDemand,,,595.86,
,B2BB28BC2B6B854CC631F11B03BDAB31-0,1762557189,FCRequestMetrics:/n-gemm-128,3,3,,,804.18,n-gemm-128,false,sr-690e60d7-203dadc213cd44058f86,,c-690e7d04-16bb26f4-86651befa2fa,1762557188816,Sync,1145.96,1762557188475,21.0.7.158,false,128,22.40,InvokeFunction,,,LATEST,1-690e7d04-1664eb1c-e6f4e2e7583b,OnDemand,,,341.24,
,E9E5AD3484ABC76DB3766562345866AA-1,1762557189,FCRequestMetrics:/n-gemm-128,3,3,221.88,1762557188515,809.16,n-gemm-128,false,sr-690e69f2-7f6958b67edb42208fcf,ColdStart,c-690e7d04-16bb26f4-23f7e1faeb3d,1762557188818,Sync,1454.52,1762557188173,21.0.4.30,true,128,23.11,InvokeFunction,37.93,1762557188517,LATEST,1-690e7d04-1664eb1c-2c3c39f3750c,OnDemand,182.82,1762557188554,341.95,
,596B909A1C1D193FC9B69D7C43DD8C21-1,1762557189,FCRequestMetrics:/n-gemm-128,3,3,238.87,1762557188518,921.33,n-gemm-128,false,sr-690e6d4c-82da583dfad947849382,ColdStart,c-690e7d04-16bb26f4-83fa7fab188f,1762557188817,Sync,1806.18,1762557187932,21.0.12.140,true,128,23.01,InvokeFunction,33.70,1762557188519,LATEST,1-690e7d04-1636722c-98c4f214878b,OnDemand,204.16,1762557188553,586.00,
,F4EC6A36DEED7989266BC944F98313C4-1,1762557189,FCRequestMetrics:/n-gemm-128,11,11,193.86,1762557188999,773.96,n-gemm-128,false,sr-690e6989-604aeb1b8e5b4be186f9,ColdStart,c-690e7d04-16bb26f4-7eb3145f7333,1762557189196,Sync,1209.29,1762557188761,21.0.6.195,true,128,22.31,InvokeFunction,22.00,1762557189000,LATEST,1-690e7d04-161cb911-9987a8924627,OnDemand,170.83,1762557189022,238.17,
,871D76BFC28BACDC3EB6D92BD3022768-1,1762557189,FCRequestMetrics:/n-gemm-128,11,11,205.05,1762557188999,753.07,n-gemm-128,false,sr-690e6af2-8c445332c9a34caa86e8,ColdStart,c-690e7d04-16bb26f4-cc42b8b6bc3a,1762557189209,Sync,1210.87,1762557188751,21.0.2.189,true,128,22.98,InvokeFunction,32.92,1762557189000,LATEST,1-690e7d04-1608aa20-d66dfbaec5d1,OnDemand,171.22,1762557189033,247.52,
,872BE0F77774A86C2BA20A1847D0390B-0,1762557190,FCRequestMetrics:/n-gemm-128,13,13,201.59,1762557189047,797.20,n-gemm-128,false,sr-690e6d18-e135034d3aa94d88ae14,ColdStart,c-690e7d05-16bb26f4-25165f7888da,1762557189281,Sync,1294.03,1762557188785,21.0.5.112,true,128,22.77,InvokeFunction,29.27,1762557189048,LATEST,1-690e7d05-1636722c-e8364e803df3,OnDemand,171.33,1762557189077,261.89,
,8DA86EE44D3E65BF03C3F4768EC65A29-1,1762557190,FCRequestMetrics:/n-gemm-128,14,14,203.73,1762557189153,765.91,n-gemm-128,false,sr-690e6fd3-aaa69c1af37b4e838154,ColdStart,c-690e7d05-16bb26f4-c17c58d13083,1762557189370,Sync,1271.95,1762557188865,21.0.10.158,true,128,22.36,InvokeFunction,20.31,1762557189154,LATEST,1-690e7d05-16bc0f10-383bf9fd2d9e,OnDemand,182.22,1762557189175,288.26,
,06DEC18E6D7618FE716C058EB5A3E489-1,1762557190,FCRequestMetrics:/n-gemm-128,14,14,198.08,1762557189152,762.64,n-gemm-128,false,sr-690e68f7-ee7fc3f539b24806bafd,ColdStart,c-690e7d05-16bb26f4-3b0f018970fe,1762557189372,Sync,1249.25,1762557188886,21.0.2.71,true,128,22.52,InvokeFunction,30.14,1762557189153,LATEST,1-690e7d05-1664eb1c-9d433cf76807,OnDemand,166.98,1762557189184,266.89,
,5FE87926D4D5B7C6424FA6E97F3CEE91-0,1762557190,FCRequestMetrics:/n-gemm-128,14,14,201.75,1762557189151,759.02,n-gemm-128,false,sr-690e6b75-582a3c1382a443f38f8b,ColdStart,c-690e7d05-16bb26f4-712c3b241946,1762557189371,Sync,1223.88,1762557188907,21.0.7.214,true,128,22.95,InvokeFunction,25.65,1762557189152,LATEST,1-690e7d05-1664eb1c-98fddf003001,OnDemand,175.09,1762557189177,244.00,
,67D9BC8D2C57BDBD7290C52BE3C7B7F9-0,1762557190,FCRequestMetrics:/n-gemm-128,14,14,265.03,1762557189152,759.82,n-gemm-128,false,sr-690e6cae-7e288e46ba9f411c8c1a,ColdStart,c-690e7d05-16bb26f4-6ea121d13c01,1762557189422,Sync,1366.92,1762557188816,21.0.5.105,true,128,22.64,InvokeFunction,87.02,1762557189153,LATEST,1-690e7d05-1608aa20-0f4b50dbf33a,OnDemand,177.03,1762557189240,336.61,
,9C12F4142773F4B3AC4B70EFF11A14A0-1,1762557190,FCRequestMetrics:/n-gemm-128,18,18,199.83,1762557189368,795.10,n-gemm-128,false,sr-690e69df-175c65bb002f4d229127,ColdStart,c-690e7d05-16bb26f4-877c5abd3a8d,1762557189574,Sync,1232.41,1762557189137,21.0.10.127,true,128,22.86,InvokeFunction,18.47,1762557189369,LATEST,1-690e7d05-16cf70ed-86addf42f059,OnDemand,180.39,1762557189388,231.19,
,BCBD3585D5EF5A9DC8FEFF2CC31C8003-2,1762557190,FCRequestMetrics:/n-gemm-128,19,19,,,789.92,n-gemm-128,false,sr-690e631e-8f9ca09dc49340d18e09,,c-690e7d05-16bb26f4-1cac60b86587,1762557189829,Sync,807.62,1762557189812,21.0.5.254,false,128,22.88,InvokeFunction,,,LATEST,1-690e7d05-1645d67b-a6296384b188,OnDemand,,,17.07,
,A2A79C58A05DBD3FFD2540CD0032F940-2,1762557190,FCRequestMetrics:/n-gemm-128,18,18,,,778.93,n-gemm-128,false,sr-690e6ddb-a4e8f5786fe942bba99d,,c-690e7d05-16bb26f4-1365bd11ff5d,1762557190090,Sync,782.44,1762557190087,21.0.10.18,false,128,22.96,InvokeFunction,,,LATEST,1-690e7d06-1608aa20-d5aa7660fe6b,OnDemand,,,3.02,
,F0C3BD95612F1C04E1A72E7A44FB59B1-2,1762557190,FCRequestMetrics:/n-gemm-128,18,18,,,772.57,n-gemm-128,false,sr-690e6be1-504b688f5e1f4c918a28,,c-690e7d05-16bb26f4-e6c64262f4b4,1762557189910,Sync,774.99,1762557189908,21.0.1.245,false,128,22.88,InvokeFunction,,,LATEST,1-690e7d05-1645d67b-2c958c6915aa,OnDemand,,,1.89,
,BB2C8427E3B6E74FF8801E288E8D372E-2,1762557192,FCRequestMetrics:/n-gemm-128,22,22,213.63,1762557191439,776.96,n-gemm-128,false,sr-690e6bf7-fd22756cb1c24b9daf17,ColdStart,c-690e7d06-16bb26f4-71608ea9a043,1762557191683,Sync,2340.57,1762557190120,21.0.6.62,true,128,22.71,InvokeFunction,26.26,1762557191440,LATEST,1-690e7d06-16cf70ed-51e96808834f,OnDemand,186.32,1762557191466,1319.17,
,98FF5CF531409FD31171F59A4BEE915C-1,1762557192,FCRequestMetrics:/n-gemm-128,22,22,211.07,1762557191465,792.52,n-gemm-128,false,sr-690e6982-c16579d1275d403b9413,ColdStart,c-690e7d06-16bb26f4-776048d7c8b5,1762557191684,Sync,2015.33,1762557190462,21.0.9.102,true,128,23.02,InvokeFunction,31.09,1762557191466,LATEST,1-690e7d06-1664eb1c-da421f60a682,OnDemand,178.81,1762557191497,1002.86,
