__source__,__tag__:__pack_id__,__time__,__topic__,activeInstances,activeInstancesPerFunction,coldStartLatencyMs,coldStartStartTimestamp,durationMs,functionName,hasFunctionError,hostname,instanceEvent,instanceID,invocationStartTimestamp,invocationType,invokeFunctionLatencyMs,invokeFunctionStartTimestamp,ipAddress,isColdStart,memoryMB,memoryUsageMB,operation,prepareCodeLatencyMs,prepareCodeStartTimestamp,qualifier,requestId,resourceMode,runtimeInitializationMs,runtimeInitializationStartTimestamp,scheduleLatencyMs,versionId
,935E6365BC1901BD043B440832F73E60-4,1762575202,FCRequestMetrics:/n-gemm-128,0,0,1512.15,1762575182644,18599.26,n-gemm-128,false,fdd57bff6e97,ColdStart,c-690ec34e-0f4c68f3-fa0ef3f1b493,1762575184161,Sync,21715.08,1762575181048,21.0.3.8,true,128,79.53,InvokeFunction,42.65,1762575182645,LATEST,1-690ec34d-0fdc5df7-40bb45fbcb6a,OnDemand,1469.41,1762575182687,1596.94,
,FF8EDED95DA4DB607328EABF90C9A555-3,1762575202,FCRequestMetrics:/n-gemm-128,2,2,1659.31,1762575182646,18643.24,n-gemm-128,false,2c4456267d09,ColdStart,c-690ec34e-0f4c68f3-5ca7f60407cb,1762575184309,Sync,22052.30,1762575180902,21.0.3.9,true,128,79.13,InvokeFunction,51.77,1762575182647,LATEST,1-690ec34d-0fdc5df7-533c4b197d7c,OnDemand,1606.55,1762575182699,1744.50,
,09D7B1EB3095BF34774A2E16516B3009-4,1762575202,FCRequestMetrics:/n-gemm-128,16,16,3134.47,1762575182643,17160.34,n-gemm-128,false,33cff7926d37,ColdStart,c-690ec34e-0f4c68f3-d5df638754ac,1762575185780,Sync,23529.59,1762575179416,21.0.3.8,true,128,23.13,InvokeFunction,66.48,1762575182643,LATEST,1-690ec34d-0f7df431-7054d8e54c91,OnDemand,3067.91,1762575182710,3227.56,
,1453971F1B170F5073544AE3CB423DDC-3,1762575203,FCRequestMetrics:/n-gemm-128,1,1,1550.01,1762575182643,18919.55,n-gemm-128,false,9c5d879cb5fe,ColdStart,c-690ec34e-0f4c68f3-97b4ef38fa3b,1762575184195,Sync,22113.44,1762575181003,21.0.3.8,true,128,77.12,InvokeFunction,74.03,1762575182644,LATEST,1-690ec34e-0f7df431-0021d1c33d45,OnDemand,1474.67,1762575182718,1639.93,
,B052805904B1293343A10CAE760FB19C-3,1762575203,FCRequestMetrics:/n-gemm-128,7,7,2370.66,1762575182635,18347.75,n-gemm-128,false,c8c569791879,ColdStart,c-690ec34e-0f4c68f3-ad2c224b6451,1762575185010,Sync,23177.05,1762575180182,21.0.3.9,true,128,70.86,InvokeFunction,32.41,1762575182636,LATEST,1-690ec34e-0f7df431-16b57e14a171,OnDemand,2337.23,1762575182669,2453.31,
,E8C7BD4F6924F3794592CFC7035CD6F4-4,1762575203,FCRequestMetrics:/n-gemm-128,7,7,2353.08,1762575182637,18406.50,n-gemm-128,false,e8ef1cce3a0b,ColdStart,c-690ec34e-0f4c68f3-9b1e2a3d1a25,1762575184995,Sync,23201.73,1762575180200,21.0.3.8,true,128,30.80,InvokeFunction,85.44,1762575182637,LATEST,1-690ec34e-0f7df431-cc08c9f81edc,OnDemand,2267.56,1762575182722,2437.02,
,CEAC526589E612A85DCDE5BA02817C18-4,1762575203,FCRequestMetrics:/n-gemm-128,14,14,2570.40,1762575182642,17953.89,n-gemm-128,false,9b52ae793898,ColdStart,c-690ec34e-0f4c68f3-25727f3096b3,1762575185214,Sync,23188.18,1762575179986,21.0.3.8,true,128,45.91,InvokeFunction,37.22,1762575182642,LATEST,1-690ec34e-0f7df431-3c95feea0d06,OnDemand,2533.13,1762575182679,2655.40,
,8EE15EA389768D0C9632C4321A159C4D-3,1762575203,FCRequestMetrics:/n-gemm-128,11,11,2474.30,1762575182641,18779.82,n-gemm-128,false,8a3c821fb6da,ColdStart,c-690ec34e-0f4c68f3-e550f152bfe0,1762575185120,Sync,23818.88,1762575180083,21.0.3.8,true,128,78.80,InvokeFunction,65.93,1762575182642,LATEST,1-690ec34e-0f7df431-c6f89cbd097a,OnDemand,2408.30,1762575182707,2558.92,
,CC60587E546B8A17F39E0A90CA46CDDE-4,1762575203,FCRequestMetrics:/n-gemm-128,16,16,3131.71,1762575182643,17418.97,n-gemm-128,false,ff1242bdc9a2,ColdStart,c-690ec34e-0f4c68f3-177e656ff014,1762575185783,Sync,23782.47,1762575179429,21.0.3.10,true,128,71.84,InvokeFunction,47.84,1762575182643,LATEST,1-690ec34d-0fdc5df7-e3cf777c0b95,OnDemand,3083.69,1762575182691,3214.48,
,05D968DAAEFC979E47916F26B758E2D7-4,1762575203,FCRequestMetrics:/n-gemm-128,16,16,3137.77,1762575182643,17221.93,n-gemm-128,false,9ea391821358,ColdStart,c-690ec34e-0f4c68f3-9dafe7a893ab,1762575185783,Sync,23589.86,1762575179427,21.0.3.9,true,128,26.71,InvokeFunction,59.14,1762575182643,LATEST,1-690ec34e-0fdc5df7-e55cea8f8ee3,OnDemand,3078.41,1762575182702,3215.36,
