__source__,__tag__:__pack_id__,__time__,__topic__,activeInstances,activeInstancesPerFunction,coldStartLatencyMs,coldStartStartTimestamp,durationMs,functionName,hasFunctionError,hostname,instanceEvent,instanceID,invocationStartTimestamp,invocationType,invokeFunctionLatencyMs,invokeFunctionStartTimestamp,ipAddress,isColdStart,memoryMB,memoryUsageMB,operation,prepareCodeLatencyMs,prepareCodeStartTimestamp,qualifier,requestId,resourceMode,runtimeInitializationMs,runtimeInitializationStartTimestamp,scheduleLatencyMs,versionId
,CF49D1054F6D99904ED9301D326A9AE4-4,1762614815,FCRequestMetrics:/n-gemm-128,32,32,3253.24,1762614789887,22249.24,n-gemm-128,false,16230a2ab624,ColdStart,c-690f5e05-0b51e7bf-657277075e72,1762614793143,Sync,28781.90,1762614786616,21.0.3.8,true,128,72.37,InvokeFunction,29.58,1762614789888,LATEST,1-690f5e05-0b8f63-b5b7b2ee8d69,OnDemand,3222.20,1762614789918,3270.14,
,AD4DF5C4DA415699C094D67997430174-5,1762614815,FCRequestMetrics:/n-gemm-128,0,0,3111.93,1762614788058,24763.31,n-gemm-128,false,76f669d4752c,ColdStart,c-690f5e04-0b51e7bf-8bc6a6ac4f07,1762614791176,Sync,31025.85,1762614784915,21.0.3.9,true,128,23.11,InvokeFunction,34.85,1762614788058,LATEST,1-690f5e04-0b8f63-682e3d0774e8,OnDemand,3076.89,1762614788093,3143.01,
,3C19493A6FDB18058B6D1AA2C52AA034-5,1762614816,FCRequestMetrics:/n-gemm-128,27,27,3131.03,1762614789894,23845.66,n-gemm-128,false,8b234bdfa641,ColdStart,c-690f5e05-0b51e7bf-9b3493b6e31e,1762614793032,Sync,30124.26,1762614786760,21.0.3.9,true,128,29.67,InvokeFunction,57.97,1762614789894,LATEST,1-690f5e05-0b8f63-15e6dae83a3c,OnDemand,3072.96,1762614789952,3134.44,
,533B8F4EAFAB17405F10D3150CBE9321-4,1762614816,FCRequestMetrics:/n-gemm-128,0,0,3082.52,1762614788055,25158.51,n-gemm-128,false,41ce3d3285f5,ColdStart,c-690f5e04-0b51e7bf-90b372acbf0c,1762614791140,Sync,31373.37,1762614784926,21.0.3.8,true,128,78.28,InvokeFunction,34.31,1762614788058,LATEST,1-690f5e04-0b8f63-312de5dd4d60,OnDemand,3044.93,1762614788092,3128.55,
,3316CD80A2C2C85CA77C200E76B5DC8D-4,1762614816,FCRequestMetrics:/n-gemm-128,0,0,3085.15,1762614788058,25738.36,n-gemm-128,false,1d93f22e6d2b,ColdStart,c-690f5e04-0b51e7bf-a565da124b72,1762614791146,Sync,31932.82,1762614784952,21.0.3.9,true,128,78.54,InvokeFunction,30.68,1762614788058,LATEST,1-690f5e04-0b8f63-c806aca4e577,OnDemand,3054.35,1762614788089,3105.90,
,5DF47D11C4BA2E4948BCC47933BC11A4-5,1762614816,FCRequestMetrics:/n-gemm-128,0,0,2195.35,1762614788947,25199.95,n-gemm-128,false,1c80314667a5,ColdStart,c-690f5e04-0b51e7bf-dde7edc63cef,1762614791147,Sync,29615.00,1762614786740,21.0.3.8,true,128,77.57,InvokeFunction,3.07,1762614788947,LATEST,1-690f5e04-0b8f63-0e7c6fa503ee,OnDemand,2191.92,1762614788951,2207.08,
,AB2F4AFEFEB65E2D50BB7DF8861CD2FF-5,1762614816,FCRequestMetrics:/n-gemm-128,0,0,3094.67,1762614788058,24840.73,n-gemm-128,false,efc87692dc36,ColdStart,c-690f5e04-0b51e7bf-a6594d11ed09,1762614791156,Sync,31076.90,1762614784929,21.0.3.8,true,128,25.27,InvokeFunction,54.43,1762614788059,LATEST,1-690f5e04-0b2eef-b25babbb818b,OnDemand,3038.69,1762614788114,3128.97,
,87BFE41297A250BBA2F34728B1A8FA40-5,1762614816,FCRequestMetrics:/n-gemm-128,8,8,3037.87,1762614789017,24925.50,n-gemm-128,false,c18cdbfbf640,ColdStart,c-690f5e05-0b51e7bf-1f090ecc3a28,1762614792068,Sync,31027.66,1762614785971,21.0.3.8,true,128,77.89,InvokeFunction,58.98,1762614789018,LATEST,1-690f5e05-0b8f63-96236d51b7c6,OnDemand,2978.80,1762614789077,3046.83,
,5F940D1E3E32104296395DF3E5D91D3F-5,1762614816,FCRequestMetrics:/n-gemm-128,5,5,3009.72,1762614788951,24663.16,n-gemm-128,false,9d61f1f2c5b5,ColdStart,c-690f5e04-0b51e7bf-9be7184ffec6,1762614791967,Sync,30705.48,1762614785927,21.0.3.9,true,128,24.23,InvokeFunction,2.89,1762614788952,LATEST,1-690f5e04-0b2eef-65537156993e,OnDemand,3006.69,1762614788954,3024.68,
,CC45CE5A9EA7C319FD21026B64B2AAC3-4,1762614817,FCRequestMetrics:/n-gemm-128,27,27,4975.35,1762614788058,24098.30,n-gemm-128,false,c1791585a2a2,ColdStart,c-690f5e04-0b51e7bf-c782d8137463,1762614793036,Sync,34101.93,1762614783041,21.0.3.12,true,128,21.77,InvokeFunction,49.99,1762614788058,LATEST,1-690f5e04-0b2eef-8ca3edf02a11,OnDemand,4925.26,1762614788108,5017.12,
