insertId,labels.execution_id,labels.runtime_version,logName,receiveLocation,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
1orl5v0f2uelhc,ad3q1qqpcrjc,nodejs20_20251026_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T07:43:52.969273351Z","'gemm-europe-west2-512","'master-thesis-475012","'europe-west2",cloud_function,DEBUG,"'Function execution took 1418 ms, finished with status code: 200","'2025-11-08T07:43:52.952789751Z","'projects/master-thesis-475012/traces/7cb15476b83cdfb57254d208aae4174e"
17llsodfeo8gn2,md1fah0u3ggi,nodejs20_20251026_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T07:43:50.638101410Z","'gemm-europe-west2-512","'master-thesis-475012","'europe-west2",cloud_function,DEBUG,"'Function execution took 1971 ms, finished with status code: 200","'2025-11-08T07:43:50.307486234Z","'projects/master-thesis-475012/traces/c53e91f68acc85d93ab9be140c7373d1"
1nfxkq9fc765k5,h0i24xmkk7pr,nodejs20_20251026_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T07:43:50.244713833Z","'gemm-europe-west2-512","'master-thesis-475012","'europe-west2",cloud_function,DEBUG,"'Function execution took 1444 ms, finished with status code: 200","'2025-11-08T07:43:50.020814303Z","'projects/master-thesis-475012/traces/03de2ce6168ee3c77254d208aae411d1"
l3m1nyf65zv9s,avfc9r5vfnz5,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T07:43:49.333993384Z","'gemm-europe-west2-512","'master-thesis-475012","'europe-west2",cloud_function,DEBUG,"'Function execution took 2157 ms, finished with status code: 200","'2025-11-08T07:43:49.158222570Z","'projects/master-thesis-475012/traces/84943fdf06ce9c8b3ab9be140c7373a4"
1orl5v0f2uee5t,zyxc25thdfpy,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T07:43:49.107125749Z","'gemm-europe-west2-512","'master-thesis-475012","'europe-west2",cloud_function,DEBUG,"'Function execution took 2042 ms, finished with status code: 200","'2025-11-08T07:43:48.953670599Z","'projects/master-thesis-475012/traces/b331b101cd969d363ab9be140c737790"
11s0dc8f4r383c,brh3vnbo42ex,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T07:43:37.332487529Z","'gemm-europe-west2-512","'master-thesis-475012","'europe-west2",cloud_function,DEBUG,"'Function execution took 2107 ms, finished with status code: 200","'2025-11-08T07:43:37.280888569Z","'projects/master-thesis-475012/traces/6eed4c185aab78982e1c3715a8f965cb"
1nnzv3pg11ba6td,euebi5l6b3fs,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T07:43:37.357994259Z","'gemm-europe-west2-512","'master-thesis-475012","'europe-west2",cloud_function,DEBUG,"'Function execution took 2098 ms, finished with status code: 200","'2025-11-08T07:43:37.057966278Z","'projects/master-thesis-475012/traces/eeb074afad75bad22e1c3715a8f96b04"
1988mocf74s0me,zyxc0gle4e6y,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T07:43:37.118515497Z","'gemm-europe-west2-512","'master-thesis-475012","'europe-west2",cloud_function,DEBUG,"'Function execution took 2136 ms, finished with status code: 200","'2025-11-08T07:43:36.944578090Z","'projects/master-thesis-475012/traces/c34f2acddab3db292e1c3715a8f96c1b"
1hu4916er72yg,8kd65ihqghjs,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T07:43:36.917147224Z","'gemm-europe-west2-512","'master-thesis-475012","'europe-west2",cloud_function,DEBUG,"'Function execution took 2065 ms, finished with status code: 200","'2025-11-08T07:43:36.865637058Z","'projects/master-thesis-475012/traces/3d5c6b104e6a7e862e1c3715a8f96584"
1bg6hn0f7vqvcn,b1mvaqms33zt,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T07:43:36.662274487Z","'gemm-europe-west2-512","'master-thesis-475012","'europe-west2",cloud_function,DEBUG,"'Function execution took 2104 ms, finished with status code: 200","'2025-11-08T07:43:36.611739093Z","'projects/master-thesis-475012/traces/fea08bd167495e1d2e1c3715a8f961b1"
1fc5g8dfpqyd1b,md1f064h3dw2,nodejs20_20251026_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T07:43:35.989707658Z","'gemm-europe-west2-512","'master-thesis-475012","'europe-west2",cloud_function,DEBUG,"'Function execution took 2027 ms, finished with status code: 200","'2025-11-08T07:43:35.901818975Z","'projects/master-thesis-475012/traces/0ada8ad4547bdae62e1c3715a8f962e5"
1wlbn3ifltoncb,xqlj844zo7li,nodejs20_20251026_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T07:43:36.030476535Z","'gemm-europe-west2-512","'master-thesis-475012","'europe-west2",cloud_function,DEBUG,"'Function execution took 1878 ms, finished with status code: 200","'2025-11-08T07:43:35.860099276Z","'projects/master-thesis-475012/traces/6434c604322a84852e1c3715a8f9670e"
