insertId,labels.execution_id,labels.runtime_version,logName,receiveLocation,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
9hes87f5vsrjk,o9qpt0wk1a01,nodejs20_20251026_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T10:43:55.957382359Z","'gemm-southamerica-east1-512","'master-thesis-475012","'southamerica-east1",cloud_function,DEBUG,"'Function execution took 2209 ms, finished with status code: 200","'2025-11-08T10:43:55.628207534Z","'projects/master-thesis-475012/traces/ef5db033ed70a235dc877f371cf2ef95"
13zlh6yehp7fq,d1l80ap2mw88,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T10:43:49.680679302Z","'gemm-southamerica-east1-512","'master-thesis-475012","'southamerica-east1",cloud_function,DEBUG,"'Function execution took 2138 ms, finished with status code: 200","'2025-11-08T10:43:49.546896661Z","'projects/master-thesis-475012/traces/4927fd6cd3ad2407853bdf7ac7f19c12"
1iz6r45fdw2aau,utt2gul8bhqx,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T10:43:49.294192168Z","'gemm-southamerica-east1-512","'master-thesis-475012","'southamerica-east1",cloud_function,DEBUG,"'Function execution took 2213 ms, finished with status code: 200","'2025-11-08T10:43:49.006488131Z","'projects/master-thesis-475012/traces/22b672c42b1c45d3853bdf7ac7f19799"
s2lzl4f77bz9e,0pbfsv3kipe9,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T10:43:47.629670502Z","'gemm-southamerica-east1-512","'master-thesis-475012","'southamerica-east1",cloud_function,DEBUG,"'Function execution took 2047 ms, finished with status code: 200","'2025-11-08T10:43:47.541405522Z","'projects/master-thesis-475012/traces/615b379e31beafee853bdf7ac7f198dd"
2iwrq9f8pybim,txjhky51rz4i,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T10:43:46.844978280Z","'gemm-southamerica-east1-512","'master-thesis-475012","'southamerica-east1",cloud_function,DEBUG,"'Function execution took 2037 ms, finished with status code: 200","'2025-11-08T10:43:46.574819827Z","'projects/master-thesis-475012/traces/9fc8b231697aabfb853bdf7ac7f197fd"
1f4a7b5f3s5njd,avaiwss92gkd,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T10:43:46.009029174Z","'gemm-southamerica-east1-512","'master-thesis-475012","'southamerica-east1",cloud_function,DEBUG,"'Function execution took 2167 ms, finished with status code: 200","'2025-11-08T10:43:45.984708922Z","'projects/master-thesis-475012/traces/395681f1190d95bab2b8fa896ba98674"
1jjmxaxf6e75bn,h0mggz6995u1,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T10:43:43.012371154Z","'gemm-southamerica-east1-512","'master-thesis-475012","'southamerica-east1",cloud_function,DEBUG,"'Function execution took 2273 ms, finished with status code: 200","'2025-11-08T10:43:42.679685776Z","'projects/master-thesis-475012/traces/cb12a6161e99b8b0b2b8fa896ba98d0a"
l43b1ret3knl,breqsnyon07f,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T10:43:41.767967929Z","'gemm-southamerica-east1-512","'master-thesis-475012","'southamerica-east1",cloud_function,DEBUG,"'Function execution took 2038 ms, finished with status code: 200","'2025-11-08T10:43:41.574873048Z","'projects/master-thesis-475012/traces/a01315cd96b930acb2b8fa896ba98ddf"
xlp4gkf31wjyt,hg07j1w0dgej,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T10:43:41.688286630Z","'gemm-southamerica-east1-512","'master-thesis-475012","'southamerica-east1",cloud_function,DEBUG,"'Function execution took 2047 ms, finished with status code: 200","'2025-11-08T10:43:41.458463730Z","'projects/master-thesis-475012/traces/016cab0377f4d211b2b8fa896ba98f17"
10mrhz6e6thj2,js5padwbpv4l,nodejs20_20251026_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T10:43:41.469086670Z","'gemm-southamerica-east1-512","'master-thesis-475012","'southamerica-east1",cloud_function,DEBUG,"'Function execution took 1910 ms, finished with status code: 200","'2025-11-08T10:43:41.409371449Z","'projects/master-thesis-475012/traces/2c0cfed17ecb6450b2b8fa896ba98a3a"
