insertId,labels.execution_id,labels.runtime_version,logName,receiveLocation,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
9hamtif61yqxp,1tbod6mq4hg2,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T13:43:53.064954386Z","'gemm-us-central1-512","'master-thesis-475012","'us-central1",cloud_function,DEBUG,"'Function execution took 2138 ms, finished with status code: 200","'2025-11-08T13:43:52.873206203Z","'projects/master-thesis-475012/traces/b7fdefb419fdb83899c55c864ad34b39"
s0w1htf11c8ka,1tbohrl8nkmz,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T13:43:49.735893834Z","'gemm-us-central1-512","'master-thesis-475012","'us-central1",cloud_function,DEBUG,"'Function execution took 2338 ms, finished with status code: 200","'2025-11-08T13:43:49.667695930Z","'projects/master-thesis-475012/traces/f365f8455d15cd348725032646b848fc"
12lfaenf2cd4w2,b5skfqxcobm5,nodejs20_20251026_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T13:43:49.236699069Z","'gemm-us-central1-512","'master-thesis-475012","'us-central1",cloud_function,DEBUG,"'Function execution took 547 ms, finished with status code: 200","'2025-11-08T13:43:49.112738097Z","'projects/master-thesis-475012/traces/902e8c6bce11a82c8725032646b848e6"
14j4slwf38df1h,1tbotwbpxvyw,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T13:43:37.080154291Z","'gemm-us-central1-512","'master-thesis-475012","'us-central1",cloud_function,DEBUG,"'Function execution took 2231 ms, finished with status code: 200","'2025-11-08T13:43:36.769697303Z","'projects/master-thesis-475012/traces/43568b7163a8552a7a905434dfd8b371"
m8bf1xe4o8gm,a8q2cdqcdol5,nodejs20_20251026_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T13:43:33.914240641Z","'gemm-us-central1-512","'master-thesis-475012","'us-central1",cloud_function,DEBUG,"'Function execution took 1485 ms, finished with status code: 200","'2025-11-08T13:43:33.648190928Z","'projects/master-thesis-475012/traces/a29c0758f1af8a414c88aea03a355a15"
bdt9nnf5p14nj,og7j1yeu1364,nodejs20_20251026_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T13:43:33.647310495Z","'gemm-us-central1-512","'master-thesis-475012","'us-central1",cloud_function,DEBUG,"'Function execution took 2092 ms, finished with status code: 200","'2025-11-08T13:43:33.463192345Z","'projects/master-thesis-475012/traces/0cc59f9b8d0923144c88aea03a3550bb"
1fq0b9e7tkue,hzzq50f9v7b6,nodejs20_20251026_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T13:43:33.579339140Z","'gemm-us-central1-512","'master-thesis-475012","'us-central1",cloud_function,DEBUG,"'Function execution took 1452 ms, finished with status code: 200","'2025-11-08T13:43:33.287742837Z","'projects/master-thesis-475012/traces/be9858d90b3b063e4c88aea03a3553ac"
1uvlz4oea6c9h,1tbove0q47a2,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T13:43:33.085302188Z","'gemm-us-central1-512","'master-thesis-475012","'us-central1",cloud_function,DEBUG,"'Function execution took 788 ms, finished with status code: 200","'2025-11-08T13:43:32.754368052Z","'projects/master-thesis-475012/traces/91f2bfae863fb7fd4c88aea03a355681"
1dpprhkeig6ww,iczqm0cce8un,nodejs20_20251026_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T13:43:32.778151940Z","'gemm-us-central1-512","'master-thesis-475012","'us-central1",cloud_function,DEBUG,"'Function execution took 2169 ms, finished with status code: 200","'2025-11-08T13:43:32.513694961Z","'projects/master-thesis-475012/traces/8e09ae70ff3ebcab4c88aea03a355c56"
10x4mo3f2hc04l,cq9nig6ajaji,nodejs20_20251026_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T13:43:31.944547148Z","'gemm-us-central1-512","'master-thesis-475012","'us-central1",cloud_function,DEBUG,"'Function execution took 2247 ms, finished with status code: 200","'2025-11-08T13:43:31.770377917Z","'projects/master-thesis-475012/traces/817beb00e6e9cccf4c88aea03a3553f8"
17ko2kxf29gkhg,6vpywyijvy7i,nodejs20_20251026_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T13:43:31.125685157Z","'gemm-us-central1-512","'master-thesis-475012","'us-central1",cloud_function,DEBUG,"'Function execution took 1857 ms, finished with status code: 200","'2025-11-08T13:43:31.102918518Z","'projects/master-thesis-475012/traces/cb016f2b583b40904c88aea03a355943"
1clw8n3f7mt40h,og7jmueckcfu,nodejs20_20251026_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T13:43:30.656198826Z","'gemm-us-central1-512","'master-thesis-475012","'us-central1",cloud_function,DEBUG,"'Function execution took 2154 ms, finished with status code: 200","'2025-11-08T13:43:30.562453042Z","'projects/master-thesis-475012/traces/382c59f7143202924c88aea03a355237"
