insertId,labels.execution_id,labels.runtime_version,logName,receiveLocation,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
1cvcp2dfw3ni7m,q5hugoze16dj,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T15:44:37.249547333Z","'gemm-us-west1-512","'master-thesis-475012","'us-west1",cloud_function,DEBUG,"'Function execution took 2142 ms, finished with status code: 200","'2025-11-08T15:44:37.059114576Z","'projects/master-thesis-475012/traces/b147c33666a51e9e2ab88b6263fdd079"
8x4voifptln2r,buxgpptv2ubs,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T15:44:36.880383476Z","'gemm-us-west1-512","'master-thesis-475012","'us-west1",cloud_function,DEBUG,"'Function execution took 2567 ms, finished with status code: 200","'2025-11-08T15:44:36.781328767Z","'projects/master-thesis-475012/traces/5c089139bbeed3552ab88b6263fdd85c"
h7cooifwlljmc,3897z18a2nik,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T15:44:33.038955209Z","'gemm-us-west1-512","'master-thesis-475012","'us-west1",cloud_function,DEBUG,"'Function execution took 2235 ms, finished with status code: 200","'2025-11-08T15:44:32.940130683Z","'projects/master-thesis-475012/traces/7ff4321c22f507d12ab88b6263fddaf9"
tgol6xflzstnj,v101xbcr1njf,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T15:44:20.580750503Z","'gemm-us-west1-512","'master-thesis-475012","'us-west1",cloud_function,DEBUG,"'Function execution took 2443 ms, finished with status code: 200","'2025-11-08T15:44:20.356594105Z","'projects/master-thesis-475012/traces/454a79013eebddfe2ab88b6263fdd17d"
1e9poeaf9et31t,b5tglp129mmk,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T15:44:15.443820387Z","'gemm-us-west1-512","'master-thesis-475012","'us-west1",cloud_function,DEBUG,"'Function execution took 1905 ms, finished with status code: 200","'2025-11-08T15:44:15.113181979Z","'projects/master-thesis-475012/traces/f8acc53398c40a3e2ab88b6263fdd290"
1xedi5ef4edlcu,aoc40l9ql7qe,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T15:44:15.174242720Z","'gemm-us-west1-512","'master-thesis-475012","'us-west1",cloud_function,DEBUG,"'Function execution took 1587 ms, finished with status code: 200","'2025-11-08T15:44:15.094176463Z","'projects/master-thesis-475012/traces/7eb320e34c4d488c2ab88b6263fdd451"
fv54kxfuggx06,b0h36nywn839,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T15:44:05.938064754Z","'gemm-us-west1-512","'master-thesis-475012","'us-west1",cloud_function,DEBUG,"'Function execution took 2061 ms, finished with status code: 200","'2025-11-08T15:44:05.848550526Z","'projects/master-thesis-475012/traces/743c4c90d1f399f22ab88b6263fddfaa"
w6wikcfqt05tg,mgt4kj145kjk,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T15:44:02.783988676Z","'gemm-us-west1-512","'master-thesis-475012","'us-west1",cloud_function,DEBUG,"'Function execution took 2068 ms, finished with status code: 200","'2025-11-08T15:44:02.624388331Z","'projects/master-thesis-475012/traces/1acb6d5d3ee230e32ab88b6263fdd671"
fju20uf4mvaiw,kepec7ue3vc8,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T15:44:02.275100125Z","'gemm-us-west1-512","'master-thesis-475012","'us-west1",cloud_function,DEBUG,"'Function execution took 2220 ms, finished with status code: 200","'2025-11-08T15:44:01.956597368Z","'projects/master-thesis-475012/traces/f1093fdd3b93f0452ab88b6263fdd600"
10oehbnf3qf7wg,b0h33aqo9tea,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T15:44:01.942198564Z","'gemm-us-west1-512","'master-thesis-475012","'us-west1",cloud_function,DEBUG,"'Function execution took 2228 ms, finished with status code: 200","'2025-11-08T15:44:01.844880656Z","'projects/master-thesis-475012/traces/6f20a19486002f222ab88b6263fdda2a"
120jdqlfr8dcx8,cffsn06v1xgm,nodejs20_20251102_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-08T15:44:01.122956053Z","'gemm-us-west1-512","'master-thesis-475012","'us-west1",cloud_function,DEBUG,"'Function execution took 1795 ms, finished with status code: 200","'2025-11-08T15:44:01.110395221Z","'projects/master-thesis-475012/traces/cf52ccb9a8b5c3f72ab88b6263fdd27e"
