insertId,labels.execution_id,labels.runtime_version,logName,receiveLocation,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
g54iogfnurg9r,119vjb23kqvi,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:46.675279530Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 637 ms, finished with status code: 200","'2025-11-26T22:01:46.644952787Z","'projects/master-thesis-475012/traces/73bb4fbf55e3d49ea1ef22703712b93f"
dc9ilmeqlbi9,o8kn8p8goj7d,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:35.706977870Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 740 ms, finished with status code: 200","'2025-11-26T22:01:35.524276946Z","'projects/master-thesis-475012/traces/f6fce3ca8b430d539614f5eae1baba6e"
2s9xq1g18wjqfl,3s7864ehrhkv,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:33.783310593Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 773 ms, finished with status code: 200","'2025-11-26T22:01:33.555561640Z","'projects/master-thesis-475012/traces/25fe0265cb9e5c40e4617903506458c4"
120husgf1puvf1,fg1gw69x8x5j,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:29.367668495Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 722 ms, finished with status code: 200","'2025-11-26T22:01:29.089448397Z","'projects/master-thesis-475012/traces/64534554aafcba884c0fae6899a8c414"
13gkhhtg1hfpcjt,o8kng0uw09i4,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:25.051466757Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 800 ms, finished with status code: 200","'2025-11-26T22:01:24.849288410Z","'projects/master-thesis-475012/traces/f98e7af4b675b5ca0448c885c8b77968"
19akf9gfn6ui0d,wq343jcyvmua,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:24.903257036Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 741 ms, finished with status code: 200","'2025-11-26T22:01:24.643661191Z","'projects/master-thesis-475012/traces/e82979a21a95a2d940b23612d1d70873"
1yhqxyxg13k5msg,84hm8b0zabqj,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:24.328519154Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 672 ms, finished with status code: 200","'2025-11-26T22:01:24.286435003Z","'projects/master-thesis-475012/traces/988f5901d30800dc40b23612d1d709c9"
uuxdw8fe1ajsy,j9559cl6c9wh,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:17.955167514Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 619 ms, finished with status code: 200","'2025-11-26T22:01:17.947977253Z","'projects/master-thesis-475012/traces/5e0103772165ac650ae05a4b995a399a"
x1fzi3f1j2fcp,i6fcss5xvb9b,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:16.435521266Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 774 ms, finished with status code: 200","'2025-11-26T22:01:16.425669485Z","'projects/master-thesis-475012/traces/7f91a2ba544dc567c745327d98155fea"
o6a9trf26drxa,kw6fqw9foqyb,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:16.002508049Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 581 ms, finished with status code: 200","'2025-11-26T22:01:15.987737114Z","'projects/master-thesis-475012/traces/bd11df010dd4a6ca0ae05a4b995a3838"
4pxp5kg1m9mt4u,gr6nllyjuy58,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:15.049603845Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 682 ms, finished with status code: 200","'2025-11-26T22:01:14.827909353Z","'projects/master-thesis-475012/traces/f6ac773e30d8d1c20ae05a4b995a3626"
1mljyjhf252bg4,4yzf143xdttr,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:14.896516047Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 716 ms, finished with status code: 200","'2025-11-26T22:01:14.795796680Z","'projects/master-thesis-475012/traces/c325a2ea7eb7a284347a300593aa3000"
n1f9mff1qrcqo,5xzrbekknbds,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:14.868035754Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 578 ms, finished with status code: 200","'2025-11-26T22:01:14.673897464Z","'projects/master-thesis-475012/traces/541422163cd28a3d00243fb359b7d8c9"
1ysjthgg1686he9,j955deql6v20,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:14.289506045Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 659 ms, finished with status code: 200","'2025-11-26T22:01:14.203758324Z","'projects/master-thesis-475012/traces/2f495716d4fa31b500243fb359b7dc6f"
i2evjgelwvq0,gr6ni5w60phh,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:14.383135290Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 675 ms, finished with status code: 200","'2025-11-26T22:01:14.062512708Z","'projects/master-thesis-475012/traces/4f13145fb5b627c600243fb359b7dc1a"
1m1hjvhg1gmg3cy,damq7a6s2t5a,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:13.438823460Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 669 ms, finished with status code: 200","'2025-11-26T22:01:13.209726954Z","'projects/master-thesis-475012/traces/58ffa3b33df562fa347a300593aa34e8"
1wv7x1qf44knv6,4yzf1wuyhk0n,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:12.896514327Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 664 ms, finished with status code: 200","'2025-11-26T22:01:12.808957613Z","'projects/master-thesis-475012/traces/3c5d9ce2e661a4b600243fb359b7d608"
tpevslg15pbwva,kw6fbnjsyc5z,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:13.005501113Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 585 ms, finished with status code: 200","'2025-11-26T22:01:12.764706489Z","'projects/master-thesis-475012/traces/804db67d35b24ffe347a300593aa3e54"
15wmpzzf6r08ai,gr6n282685rt,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:12.717659246Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 720 ms, finished with status code: 200","'2025-11-26T22:01:12.690571320Z","'projects/master-thesis-475012/traces/b6584b5c3c57be2200243fb359b7d5ca"
1odjigf81ivre,j95525c5i7et,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:12.623573026Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 710 ms, finished with status code: 200","'2025-11-26T22:01:12.573019353Z","'projects/master-thesis-475012/traces/5d5fdb0870828eba00243fb359b7de91"
1ti26xdfea3p0b,5xzr2zq10xps,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:12.538563807Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 543 ms, finished with status code: 200","'2025-11-26T22:01:12.531157403Z","'projects/master-thesis-475012/traces/dc33ce0c5f0ad85400243fb359b7d011"
1spdaltfowhbm2,damq9hvrvkp8,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:12.772353889Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 686 ms, finished with status code: 200","'2025-11-26T22:01:12.477264757Z","'projects/master-thesis-475012/traces/74fb1c88d7b88c67347a300593aa3b1a"
1wuc3abg1j1ollq,wp5cphje298u,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:12.508821474Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 679 ms, finished with status code: 200","'2025-11-26T22:01:12.332380279Z","'projects/master-thesis-475012/traces/0e4cd3e6ec3ae92000243fb359b7de98"
b4zyoeg1kkr9sq,grf9tbi10ez0,nodejs20_20251109_20_19_5_RC00,"'projects/master-thesis-475012/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,"'2025-11-26T22:01:12.197110001Z","'b-gemm-us-east1-2048","'master-thesis-475012","'us-east1",cloud_function,DEBUG,"'Function execution took 768 ms, finished with status code: 200","'2025-11-26T22:01:12.175625464Z","'projects/master-thesis-475012/traces/335752f3b898c76e6acb778aa2b1f8b2"
