Provider,Workload,eta2_exec,eta2_billed,n,delta
"AWS
Lambda",Gzip,54.022094783505715,47.401913613267524,47034,-6.62018117023819
"AWS
Lambda",JSON,71.97167030990038,65.22208696541209,47013,-6.749583344488286
"AWS
Lambda",AES-CTR,76.43270288635347,79.95306508369687,46776,3.5203621973434025
"AWS
Lambda",SHA-256,97.22159738204577,95.228752842394,46946,-1.9928445396517702
"AWS
Lambda",MatMul,93.2942351426966,92.03733977441395,46610,-1.256895368282656
Alibaba FC,Gzip,22.895017162471355,32.461826545003014,46612,9.566809382531659
Alibaba FC,JSON,20.72833338952193,21.35383674026429,46896,0.6255033507423597
Alibaba FC,AES-CTR,44.68625298073023,54.065789613312134,46574,9.379536632581903
Alibaba FC,SHA-256,80.1389908013215,74.82601654765078,46898,-5.312974253670717
Alibaba FC,MatMul,46.095817128457384,47.62082145553641,46752,1.5250043270790243
"Azure
Functions",Gzip,1.6328046576350472,1.361932696211263,49582,-0.2708719614237842
"Azure
Functions",JSON,3.8444916862522063,3.362117267498782,49434,-0.48237441875342446
"Azure
Functions",AES-CTR,12.213729378980439,8.804508657873793,49303,-3.409220721106646
"Azure
Functions",SHA-256,8.137042582284897,5.43363217541393,49158,-2.703410406870967
"Azure
Functions",MatMul,5.21841803989746,4.25034216024998,49366,-0.96807587964748
GCF,Gzip,90.19206874964797,84.69558590074006,47213,-5.496482848907917
GCF,JSON,71.01936014960776,64.80369316047168,47330,-6.215666989136082
GCF,AES-CTR,71.76055430325891,68.3033215832647,47247,-3.4572327199942094
GCF,SHA-256,96.49820983712128,89.06364157428476,48023,-7.434568262836521
GCF,MatMul,56.407749814423305,51.77414171773488,48542,-4.633608096688427
