Provider,Workload,CPU,N,Min,Q1,Median,Q3,Max,Mean,Std,CV (%)
AWS Lambda,AES-CTR,AMD EPYC 2.25GHz,2504,658.3,974.0,1100.1,1156.7,1300.5,1070.0,116.6,10.9
AWS Lambda,AES-CTR,AMD EPYC 2.65GHz,977,682.0,938.9,1060.3,1116.4,1335.6,1035.1,109.0,10.5
AWS Lambda,AES-CTR,Intel Xeon 2.50GHz,39232,1299.6,1719.5,1861.1,1897.8,2072.8,1813.7,128.8,7.1
AWS Lambda,AES-CTR,Intel Xeon 2.90GHz,3625,1239.7,1638.3,1801.7,1858.9,2077.6,1754.2,149.7,8.5
AWS Lambda,AES-CTR,Intel Xeon 3.00GHz,438,1515.3,1713.9,1872.1,1895.0,1978.5,1812.4,118.0,6.5
AWS Lambda,Gzip,AMD EPYC 2.25GHz,2731,1738.2,1895.8,1937.1,1997.8,2183.8,1946.7,78.2,4.0
AWS Lambda,Gzip,AMD EPYC 2.65GHz,726,1760.8,1820.7,1843.5,1879.3,2416.9,1856.5,56.1,3.0
AWS Lambda,Gzip,Intel Xeon 2.50GHz,37037,1760.1,1878.9,1902.0,1937.7,2053.8,1908.3,40.2,2.1
AWS Lambda,Gzip,Intel Xeon 2.90GHz,4561,1906.2,2017.6,2038.5,2059.1,2121.6,2034.0,33.6,1.7
AWS Lambda,Gzip,Intel Xeon 3.00GHz,1979,1720.0,1778.1,1796.5,1813.9,1878.4,1793.0,26.3,1.5
AWS Lambda,JSON,AMD EPYC 2.25GHz,4209,1803.7,1999.1,2042.2,2113.9,2361.2,2055.3,85.7,4.2
AWS Lambda,JSON,AMD EPYC 2.65GHz,894,1803.6,1902.1,1939.0,1977.1,2178.8,1943.1,57.2,2.9
AWS Lambda,JSON,Intel Xeon 2.50GHz,35405,2098.0,2277.5,2302.8,2343.1,2540.2,2310.6,55.2,2.4
AWS Lambda,JSON,Intel Xeon 2.90GHz,4575,2037.6,2181.6,2220.0,2259.2,2418.2,2219.2,52.8,2.4
AWS Lambda,JSON,Intel Xeon 3.00GHz,1930,2043.0,2156.6,2179.7,2200.5,2318.4,2176.0,39.1,1.8
AWS Lambda,MatMul,AMD EPYC 2.25GHz,7529,1443.2,1617.7,1678.3,1740.6,2097.8,1683.3,91.5,5.4
AWS Lambda,MatMul,AMD EPYC 2.65GHz,1070,1441.2,1541.3,1586.0,1654.0,2020.0,1604.9,85.6,5.3
AWS Lambda,MatMul,Intel Xeon 2.50GHz,28371,2062.9,2662.2,2741.7,2827.6,3323.8,2748.5,136.7,5.0
AWS Lambda,MatMul,Intel Xeon 2.90GHz,6421,1702.5,2201.4,2279.5,2358.4,2858.4,2280.9,122.6,5.4
AWS Lambda,MatMul,Intel Xeon 3.00GHz,3219,2022.0,2602.5,2682.5,2759.7,2999.8,2678.2,121.8,4.5
AWS Lambda,SHA-256,AMD EPYC 2.25GHz,5708,1762.4,1875.3,1898.4,1955.1,2156.0,1917.6,59.6,3.1
AWS Lambda,SHA-256,AMD EPYC 2.65GHz,1140,1805.1,1840.2,1844.9,1860.8,2360.6,1858.0,35.6,1.9
AWS Lambda,SHA-256,Intel Xeon 2.50GHz,33720,2278.9,2376.9,2397.4,2423.9,2519.9,2402.3,35.0,1.5
AWS Lambda,SHA-256,Intel Xeon 2.90GHz,4568,2720.6,2819.8,2856.0,2882.3,2993.3,2853.5,44.9,1.6
AWS Lambda,SHA-256,Intel Xeon 3.00GHz,1810,2220.0,2242.6,2257.8,2265.1,2317.6,2257.8,15.6,0.7
Alibaba FC,AES-CTR,Intel Xeon 2.50GHz,35152,398.2,765.8,844.5,924.3,1259.5,855.8,117.4,13.7
Alibaba FC,AES-CTR,Intel Xeon 2.90GHz,3038,280.0,579.8,624.8,680.6,976.2,631.2,79.4,12.6
Alibaba FC,AES-CTR,Intel Xeon 8269CY 3.10GHz,8384,124.0,355.4,575.4,721.2,1063.9,543.2,210.1,38.7
Alibaba FC,Gzip,Intel Xeon 2.50GHz,35698,1157.1,1361.5,1440.3,1522.7,1837.0,1447.9,113.7,7.9
Alibaba FC,Gzip,Intel Xeon 2.90GHz,2834,1010.8,1098.8,1138.1,1183.3,1500.9,1148.5,69.4,6.0
Alibaba FC,Gzip,Intel Xeon 8269CY 3.10GHz,8080,407.9,1078.5,1305.7,1531.5,1897.0,1274.0,317.7,24.9
Alibaba FC,JSON,Intel Xeon 2.50GHz,35533,1367.3,1681.1,1817.6,1983.0,2605.9,1843.4,213.9,11.6
